agency,description,name,price
Keller Williams Realty Sonoran Living,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,185'}",4019 W Covey Lane S10 T6s R7e,"$1,200,000"
Realty Executives,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '5,700'}",36631 Peaceful Place Carefree,"$4,535,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '6', 'Baths': '5', 'Sq.Ft.': '5,966'}",29211 N 53rd Street Metes & Bounds,"$8,500,000"
Delex Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '1,988'}",9121 W Debbie Lane Arizona City Unit Seven,"$398,888"
Realty Executives Arizona Territory,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,877'}",3589 S Henness Road Mountain View Estates Unit No 1,"$950,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,463'}","7102 E Stagecoach Pass Road A Landmark Architectural Wonder, Bridging A Dramatic Canyon, Built By Gerry Jones.","$4,500,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '8,845'}",4880 E Lone Mountain Road Seven Sisters Estates,"$7,250,000"
Delex Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '1,988'}",15200 S Diablo Road Arizona City Unit Nine Amd,"$398,888"
Elite Real Estate Pros,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,094'}",9457 W Coral Mountain Road Arroyo Verde Estates,"$899,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,550'}",35619 N Ridgeway Drive Carefree Grand View Estates Unit 1,"$3,600,000"
Realty Executives,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '6,315'}",5878 E Lone Mountain Road Metes And Bounds,"$4,375,000"
Ivory Towers Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,314'}",10835 W San Lazaro Drive Arizona City Unit Ten,"$385,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,592'}",9370 W Weaver Circle Weaver Ranch Unit 1,"$899,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,400'}",6924 E Stagecoach Pass Pass Carefree Plat 3B,"$3,500,000"
Jason Mitchell Real Estate,"{'Beds': '3', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,204'}",5840 E Ocotillo Road Loringwood Est. Lots 23-29,"$3,800,000"
Keller Williams Arizona Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,888'}",8151 W Santa Cruz Boulevard Arizona City Unit Three,"$369,900"
Keller Williams Realty Sonoran Living,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,059'}",550 S Linden Place Com @ N-Cor Sec 25 6S-7E Th S-1601.45 Th E-208.60,"$894,900"
Dpr Realty Llc,"{'Beds': '4', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '4,950'}",8702 E Silver Saddle Drive Cow Track Estates 2,"$3,295,000"
Ventana Fine Properties,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,750'}",39347 N Old Stage Road The Village At Go John Canyon,"$3,685,000"
Keller Williams Realty Professional Partners,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '1,733'}",9089 W Troy Drive Arizona City Unit One,"$350,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '3,150'}",8578 N Buena Vista Drive Las Montanas Unit 2,"$840,000"
Keller Williams Realty Elite,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '6,231'}",21530 W Granite Ridge Road Verrado 5.803,"$4,250,000"
